GameID,Pitcher,Outs,PitchCount,HBP,BB,FirstHitInning,NoHitBid,K,IP,GB,BallsInPlay
"SEA200508310","johnr005",21,116,0,2,5.00,1,7,7.00,18,11
"TBA200506290","towej001",21,89,1,1,6.33,1,7,7.00,16,6
"TOR200504240","ponss001",27,131,0,4,5.33,1,7,9.00,26,13
"TOR200506140","carpc002",27,95,0,1,5.67,1,10,9.00,17,11
"TOR200509030","mccls002",24,123,1,3,5.00,1,6,8.00,21,9
"TOR200509210","hernf002",22,106,0,3,6.33,1,6,7.33,18,15
"ARI200507230","halsb001",23,95,1,1,5.67,1,1,7.67,26,10
"ARI200508250","martp001",18,100,1,4,5.33,1,6,6.00,13,6
"CHN200505210","zambc001",21,108,2,3,5.67,1,8,7.00,13,4
"CIN200505060","pennb002",21,89,0,2,5.33,1,4,7.00,18,9
"HOU200506250","younc003",21,104,1,1,5.67,1,4,7.00,20,8
"LAN200505130","weavj002",23,119,0,2,5.33,1,7,7.67,22,8
"LAN200508140","martp001",24,97,0,1,7.33,1,5,8.00,21,10
"LAN200509090","willw001",17,106,0,5,5.33,1,6,5.67,12,8
"MIL200504180","pereo001",19,85,0,2,6.00,1,3,6.33,16,6
"MIL200507310","capuc001",24,111,0,2,5.00,1,3,8.00,23,9
"NYN200506070","martp001",27,110,0,1,6.33,1,12,9.00,16,8
"NYN200509200","burna001",24,98,0,1,6.00,1,9,8.00,18,10
"PHI200507210","pereo001",21,98,0,1,5.00,1,7,7.00,16,9
"PHI200508050","sheeb001",27,126,1,2,5.67,1,7,9.00,24,12
"PIT200504250","pereo002",23,121,1,2,5.67,1,9,7.67,17,4
"PIT200509300","pereo002",15,104,1,7,5.00,1,4,5.00,13,4
"SFN200508260","tracs001",24,108,0,2,5.67,1,6,8.00,20,10
"SLN200505280","suppj001",21,101,1,3,5.33,1,2,7.00,21,14
"SLN200509060","ruscg001",23,109,0,1,6.00,1,3,7.67,23,12
"WAS200505170","oberw001",24,108,0,0,6.33,1,4,8.00,22,13
"WAS200507230","armat002",21,111,1,3,5.33,1,5,7.00,17,5
"ANA200605170","jansc001",24,88,0,0,5.33,1,3,8.00,23,10
"ANA200605310","lirif001",18,104,0,4,5.33,1,4,6.00,14,12
"ANA200609130","garcf002",24,102,0,0,7.67,1,3,8.00,22,9
"BAL200608200","hallr001",21,99,0,1,5.33,1,2,7.00,23,16
"BOS200606230","beckj002",24,104,0,0,5.33,1,8,8.00,18,8
"BOS200610010","hansd002",15,61,0,1,-1.00,2,6,5.00,8,4
"CHA200604190","vazqj001",24,108,0,1,6.33,1,7,8.00,18,6
"CHA200605060","vazqj001",23,116,0,0,5.00,1,6,7.67,20,10
"CHA200606220","reyea002",24,90,0,0,6.33,1,6,8.00,20,6
"CHA200608090","johnr005",18,86,0,2,6.00,1,5,6.00,16,7
"CHA200608110","contj002",27,101,0,1,5.67,1,5,9.00,25,14
"DET200605290","johnr005",18,91,0,3,5.67,1,4,6.00,16,7
"KCA200609060","johnr005",21,81,0,2,6.00,1,8,7.00,12,4
"MIN200605070","santj003",21,102,1,1,6.00,1,11,7.00,14,5
"NYA200609280","cabrd001",27,106,0,2,8.33,1,5,9.00,23,14
"OAK200607010","batim001",27,122,0,1,6.67,1,6,9.00,24,16
"SEA200608090","washj001",20,106,0,1,5.00,1,4,6.67,19,5
"SEA200608270","baekc001",17,107,0,5,5.33,1,4,5.67,14,3
"TEX200608250","zitob001",25,114,0,2,7.00,1,2,8.33,26,9
"TEX200609150","weavj003",21,105,0,3,5.33,1,9,7.00,13,3
"TOR200605070","jansc001",22,86,0,1,5.33,1,3,7.33,22,16
"TOR200605080","hallr001",27,98,1,1,5.00,1,6,9.00,24,18
"TOR200609250","marcs001",24,113,0,1,5.33,1,10,8.00,16,8
"ATL200608210","smolj001",24,109,0,1,5.33,1,10,8.00,18,10
"CHN200605170","marss002",18,100,0,4,5.00,1,6,6.00,13,7
"CHN200605260","zambc001",20,124,0,6,6.67,1,8,6.67,14,5
"CHN200607150","zambc001",18,103,0,4,5.00,1,7,6.00,15,11
"CIN200605130","liebj001",26,110,0,0,6.67,1,6,8.67,22,12
"CIN200608030","maddg002",18,72,0,3,-1.00,2,3,6.00,13,9
"CIN200608040","jamec002",16,86,0,3,5.33,1,3,5.33,15,4
"COL200605200","franj003",18,86,0,3,5.00,1,2,6.00,17,6
"COL200607240","franj003",27,129,0,0,5.00,1,8,9.00,21,12
"FLO200605270","glavt001",23,102,0,0,5.00,1,9,7.67,19,9
"FLO200607140","sanca004",21,87,1,1,5.00,1,2,7.00,20,10
"FLO200609060","sanca004",27,103,0,4,-1.00,3,6,9.00,21,12
"HOU200604240","petta001",21,101,0,3,6.33,1,5,7.00,15,11
"HOU200606050","zambc001",24,126,0,2,7.33,1,8,8.00,16,8
"HOU200606160","elars001",18,82,0,0,5.33,1,4,6.00,17,4
"HOU200609030","oswar001",23,109,0,1,6.00,1,9,7.67,17,9
"HOU200609160","hamec001",23,116,1,4,6.67,1,11,7.67,14,6
"LAN200609150","maddg002",21,68,0,3,6.33,1,1,7.00,18,9
"MIL200608090","bushd001",24,103,2,1,5.33,1,6,8.00,21,9
"NYN200604050","bannb001",18,100,2,4,5.33,1,4,6.00,15,6
"NYN200604190","hudst001",27,97,1,1,5.00,1,6,9.00,23,17
"NYN200607260","priom001",17,103,0,5,-1.00,2,3,5.67,13,6
"PHI200607280","nolar001",22,108,1,5,6.67,1,3,7.33,19,13
"PHI200609040","hamec001",24,99,0,0,5.67,1,8,8.00,19,9
"PIT200604190","carpc002",24,110,1,1,5.33,1,6,8.00,19,10
"PIT200606040","younc003",24,91,0,1,5.33,1,4,8.00,22,3
